GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
90.16677000		90.37053081		1.12379544		3		0.18817732		0.30470476		0.34785468
89.49837000		89.48440489		1.10923385		0		-0.03356564		-0.59890479		0.36574157
90.67173000		90.67134713		1.07852403		-4		-0.17145973		0.87704738		0.35155430
90.67173000		90.65773096		1.06490786		2		0.12759187		0.87485390		0.34012684
90.48354000		90.48401733		1.08593736		11		0.71659302		0.71780511		0.32345868
90.48354000		90.52221758		1.12413761		11		0.65269097		0.20561008		0.31660013
90.48354000		90.47780696		1.07972698		6		0.37455729		0.16605068		0.31182546
90.07390000		89.95796415		0.95072564		0		-0.01849587		-0.36308928		0.32119047
90.07390000		89.87660735		0.86936883		-4		-0.12431869		-0.44534509		0.32202078
90.54987000		90.54633433		0.86336386		-1		-0.06555487		0.51746500		0.30093263
90.54987000		90.56998323		0.88701276		5		0.21006793		0.54884269		0.29320903
88.97575000		90.58846513		0.90549467		8		0.53420518		0.55335086		0.30718469
90.18023000		90.17885687		0.88442169		8		0.53351472		-0.12898500		0.30789007
90.18023000		90.10012077		0.80568559		4		0.26865376		-0.19105422		0.29120862
90.49179000		90.48664344		0.70978763		-1		0.09002013		0.20711090		0.27954571
90.49179000		90.43800161		0.66114580		0		-0.04953179		0.16265816		0.27534699
90.49179000		90.44177929		0.66492348		2		0.14480985		0.43845737		0.27063293
89.45606000		89.47555107		0.68748331		0		-0.02591877		-0.54946251		0.29236983
89.45606000		89.48132067		0.69325291		-5		-0.30883980		-0.54563725		0.29467075
89.28429000		89.26980803		0.67780466		-10		-0.62124235		-0.76267397		0.29985836
89.28429000		89.27909857		0.68709520		-12		-0.76932875		-1.02661571		0.30566918
90.10360000		90.18021721		0.77070453		-10		-0.13928767		-0.12530173		0.30549793
89.88127000		89.89502063		0.90955571		-5		-0.31178134		-0.39763410		0.29264655
89.93551000		89.95378529		1.13287458		0		-0.02163596		-0.06603283		0.28563788
90.19344000		90.19267466		1.11573217		0		-0.05328045		0.17602103		0.28247844
90.66159000		90.66162845		1.11610924		1		0.07711286		0.39535835		0.26626944
90.66159000		90.65730816		1.11178895		6		0.37612781		0.40388368		0.25343304
90.41241000		90.40344774		1.10204985		6		0.41350374		0.42340486		0.24741641
90.35956000		90.27821634		0.99190843		6		0.37518955		0.30628619		0.23932557
89.72158000		89.70439569		0.76702803		0		0.02172615		-0.25797608		0.23286288
89.72158000		89.67691560		0.73954795		-2		-0.12045139		-0.28589423		0.23329651
90.72150000		90.74633199		0.76569529		5		0.34130238		0.81546111		0.19976505
89.42371000		89.43087307		0.79124852		9		0.59571767		-0.52159382		0.22136198
90.01758000		90.08138094		0.67481166		-1		-0.06887894		0.42574827		0.19975705
90.01758000		90.15980021		0.75323093		3		0.23790859		0.51094085		0.19296149
88.82012000		90.15443576		0.74786648		8		0.50843624		0.49721086		0.20137786
90.52313000		90.48203839		0.70610009		9		0.48211702		0.57721243		0.18180802
90.10428000		90.04110780		0.57306278		7		0.45536510		0.13820576		0.17986785
89.47744000		89.38710231		0.36192125		5		0.32130841		0.32275555		0.17213574
89.14624000		89.12017330		0.25970766		3		0.08487993		0.06126786		0.16663437
89.92151000		89.89213507		0.18206818		0		-0.02002830		0.29503810		0.15105998
89.92151000		89.86484124		0.15477435		1		0.09743853		0.27166190		0.14701113
89.09089000		89.08683816		0.16730382		0		0.00981628		-0.21221238		0.14019588
89.10114000		89.10391645		0.13551336		5		0.32000486		-0.15857894		0.11897074
89.10114000		89.13260780		0.16420472		-4		-0.26557373		-0.41000400		0.11734754
89.22305000		89.16817745		0.10683013		-5		-0.35426024		-0.37592684		0.11865070
88.89133000		89.02878381		0.24989424		-9		-0.55381372		-0.49293551		0.11467538
89.63901000		89.63910636		0.54759816		2		0.08086814		0.15718246		0.09452557
89.63901000		89.64533407		0.55382586		3		0.18357250		0.16588039		0.09205567
89.70328000		89.67680049		0.50423045		3		0.18245166		0.21310074		0.07634967
89.98958000		89.97055241		0.42115180		4		0.28003952		0.51638080		0.07087020
89.98958000		89.95117604		0.40177542		7		0.44230546		0.50300672		0.06486369
89.39082000		89.34074241		0.34613607		1		0.10162306		-0.09399384		0.06943083
89.35860000		89.28622620		0.24528921		-1		-0.05447611		-0.15111879		0.07095040
89.35860000		89.24316618		0.20222919		-3		-0.20033403		-0.50873596		0.07308526
89.97791000		90.04247245		0.26902874		3		0.03146834		0.31999761		0.04819518
89.67516000		89.64192913		0.25091546		-6		-0.36645087		-0.08891386		0.06122225
89.93375000		90.02680752		0.41189504		0		0.05915425		0.30718779		0.04996038
89.93375000		90.08397107		0.46905859		5		0.35542926		0.71483432		0.04432032
