GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			atan_tmp		s			triangle_area		distance_a		distance_b		distance_c		x_error
268.04676000		268.04672105		-0.00125821		-215		0.00000000		-179.69815447		87.74490722		268.04672105		179.69815447		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04667270		-0.00130656		-217		0.00000000		-179.69819815		87.74490722		268.04667270		179.69819815		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04662386		-0.00135540		-218		-0.71879208		-179.69824148		87.74490722		268.04662386		179.69824148		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04649724		-0.00148202		-223		0.00000000		-179.69837455		87.74490722		268.04649724		179.69837455		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04639046		-0.00158880		-226		-13.56718695		-179.69850448		87.74490722		268.04639046		179.69850448		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04631169		-0.00166757		-227		-13.65703620		-179.69857412		87.74490722		268.04631169		179.69857412		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04623182		-0.00174744		-229		-13.74688549		-179.69864699		87.74490722		268.04623182		179.69864699		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04615478		-0.00182448		-230		0.00000000		-179.69871742		87.74490722		268.04615478		179.69871742		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04607727		-0.00190199		-232		0.00000000		-179.69878848		87.74490722		268.04607727		179.69878848		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04600031		-0.00197895		-233		0.00000000		-179.69886449		87.74490722		268.04600031		179.69886449		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
